764654:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:         17704        1143672  [B (java.base@21-ea)
   2:         16870         404880  java.lang.String (java.base@21-ea)
   3:          2547         310456  java.lang.Class (java.base@21-ea)
   4:          2242         210064  [Ljava.lang.Object; (java.base@21-ea)
   5:          4191         134112  java.util.concurrent.ConcurrentHashMap$Node (java.base@21-ea)
   6:          3326         106432  java.util.HashMap$Node (java.base@21-ea)
   7:           685          60280  java.lang.reflect.Method (java.base@21-ea)
   8:           417          58080  [Ljava.util.HashMap$Node; (java.base@21-ea)
   9:           486          49432  [I (java.base@21-ea)
  10:            85          46224  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@21-ea)
  11:          1131          45240  java.util.LinkedHashMap$Entry (java.base@21-ea)
  12:          1024          34456  [Ljava.lang.String; (java.base@21-ea)
  13:            18          34008  [C (java.base@21-ea)
  14:           595          28560  java.lang.invoke.MemberName (java.base@21-ea)
  15:           711          22752  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@21-ea)
  16:           433          20784  java.util.HashMap (java.base@21-ea)
  17:           483          19320  java.lang.invoke.MethodType (java.base@21-ea)
  18:           244          18544  [Ljava.lang.ref.SoftReference; (java.base@21-ea)
  19:           664          17728  [Ljava.lang.Class; (java.base@21-ea)
  20:           434          13888  java.lang.invoke.LambdaForm$Name (java.base@21-ea)
  21:           460          11040  java.lang.invoke.ResolvedMethodName (java.base@21-ea)
  22:           341          10912  jdk.internal.math.FDBigInteger (java.base@21-ea)
  23:           264          10560  sun.security.util.KnownOIDs (java.base@21-ea)
  24:           259          10360  java.lang.ref.SoftReference (java.base@21-ea)
  25:           138           9936  java.lang.reflect.Field (java.base@21-ea)
  26:           368           8832  java.lang.module.ModuleDescriptor$Exports (java.base@21-ea)
  27:           133           8512  java.lang.Class$ReflectionData (java.base@21-ea)
  28:            50           8312  [Ljava.lang.invoke.MethodHandle; (java.base@21-ea)
  29:           116           7424  java.util.concurrent.ConcurrentHashMap (java.base@21-ea)
  30:           149           7152  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@21-ea)
  31:           174           6960  java.lang.invoke.DirectMethodHandle (java.base@21-ea)
  32:           135           6480  java.lang.invoke.LambdaForm (java.base@21-ea)
  33:           162           6480  java.util.TreeMap$Entry (java.base@21-ea)
  34:           260           6240  java.lang.Long (java.base@21-ea)
  35:           260           6240  java.util.ImmutableCollections$Set12 (java.base@21-ea)
  36:           259           6216  javax.management.ImmutableDescriptor (java.management@21-ea)
  37:           121           6064  [Ljava.lang.reflect.Method; (java.base@21-ea)
  38:           140           5952  [Ljava.lang.invoke.LambdaForm$Name; (java.base@21-ea)
  39:           159           5088  com.sun.jmx.mbeanserver.ConvertingMethod (java.management@21-ea)
  40:           210           5040  java.time.LocalDateTime (java.base@21-ea)
  41:            62           4960  java.net.URI (java.base@21-ea)
  42:           124           4960  java.util.WeakHashMap$Entry (java.base@21-ea)
  43:           154           4928  java.lang.invoke.MethodTypeForm (java.base@21-ea)
  44:           289           4624  java.lang.Integer (java.base@21-ea)
  45:           143           4576  java.lang.invoke.MethodHandleNatives$CallSiteContext (java.base@21-ea)
  46:           190           4560  jdk.internal.module.ServicesCatalog$ServiceProvider (java.base@21-ea)
  47:            20           4528  [J (java.base@21-ea)
  48:           138           4416  java.lang.module.ModuleDescriptor$Requires (java.base@21-ea)
  49:            59           4248  java.lang.reflect.Constructor (java.base@21-ea)
  50:             1           4112  [Ljava.nio.ByteBuffer; (java.base@21-ea)
  51:           256           4096  java.lang.Byte (java.base@21-ea)
  52:           256           4096  java.lang.Short (java.base@21-ea)
  53:           101           4040  com.sun.management.internal.DiagnosticCommandArgumentInfo (jdk.management@21-ea)
  54:            72           4032  java.lang.Module (java.base@21-ea)
  55:            63           4032  java.lang.module.ModuleDescriptor (java.base@21-ea)
  56:           126           4032  java.lang.ref.WeakReference (java.base@21-ea)
  57:            99           3960  java.lang.invoke.BoundMethodHandle$Species_L (java.base@21-ea)
  58:           164           3936  java.util.ImmutableCollections$SetN (java.base@21-ea)
  59:           163           3912  java.util.ArrayList (java.base@21-ea)
  60:           228           3648  java.lang.Object (java.base@21-ea)
  61:           150           3600  java.lang.invoke.LambdaForm$NamedFunction (java.base@21-ea)
  62:            90           3600  java.math.BigInteger (java.base@21-ea)
  63:            55           3520  java.security.Provider$Service (java.base@21-ea)
  64:            73           3504  java.lang.invoke.DirectMethodHandle$Constructor (java.base@21-ea)
  65:            62           3472  jdk.internal.module.ModuleReferenceImpl (java.base@21-ea)
  66:           214           3424  java.util.HashSet (java.base@21-ea)
  67:           170           3392  [Lcom.sun.jmx.mbeanserver.MXBeanMapping; (java.management@21-ea)
  68:           135           3240  java.security.Provider$ServiceKey (java.base@21-ea)
  69:            49           3136  javax.management.openmbean.OpenMBeanAttributeInfoSupport (java.management@21-ea)
  70:            31           3120  [Ljava.util.WeakHashMap$Entry; (java.base@21-ea)
  71:            57           3032  [Ljavax.management.MBeanAttributeInfo; (java.management@21-ea)
  72:           126           3024  java.time.LocalDate (java.base@21-ea)
  73:            56           2688  javax.management.MBeanInfo (java.management@21-ea)
  74:            65           2600  java.io.ObjectStreamField (java.base@21-ea)
  75:            50           2400  com.sun.management.internal.DiagnosticCommandInfo (jdk.management@21-ea)
  76:            74           2368  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@21-ea)
  77:            19           2280  java.lang.Thread (java.base@21-ea)
