762911:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:         19122        1204672  [B (java.base@21-ea)
   2:         18016         432384  java.lang.String (java.base@21-ea)
   3:          2790         339200  java.lang.Class (java.base@21-ea)
   4:          2365         217632  [Ljava.lang.Object; (java.base@21-ea)
   5:          1905         167640  java.lang.reflect.Method (java.base@21-ea)
   6:          4707         150624  java.util.concurrent.ConcurrentHashMap$Node (java.base@21-ea)
   7:          3689         118048  java.util.HashMap$Node (java.base@21-ea)
   8:           469          64576  [Ljava.util.HashMap$Node; (java.base@21-ea)
   9:          1385          55400  java.util.LinkedHashMap$Entry (java.base@21-ea)
  10:           496          49760  [I (java.base@21-ea)
  11:            88          48448  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@21-ea)
  12:          1518          38768  [Ljava.lang.Class; (java.base@21-ea)
  13:          1062          35488  [Ljava.lang.String; (java.base@21-ea)
  14:            18          34008  [C (java.base@21-ea)
  15:           641          30768  java.lang.invoke.MemberName (java.base@21-ea)
  16:           756          24192  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@21-ea)
  17:           451          21648  java.util.HashMap (java.base@21-ea)
  18:           512          20480  java.lang.invoke.MethodType (java.base@21-ea)
  19:           258          19608  [Ljava.lang.ref.SoftReference; (java.base@21-ea)
  20:           466          14912  java.lang.invoke.LambdaForm$Name (java.base@21-ea)
  21:           294          11760  java.lang.ref.SoftReference (java.base@21-ea)
  22:           488          11712  java.lang.invoke.ResolvedMethodName (java.base@21-ea)
  23:           156          11336  [Ljava.lang.reflect.Method; (java.base@21-ea)
  24:           154          11088  java.lang.reflect.Field (java.base@21-ea)
  25:           341          10912  jdk.internal.math.FDBigInteger (java.base@21-ea)
  26:           681          10896  java.lang.Object (java.base@21-ea)
  27:           264          10560  sun.security.util.KnownOIDs (java.base@21-ea)
  28:           161          10304  java.lang.Class$ReflectionData (java.base@21-ea)
  29:            52           8872  [Ljava.lang.invoke.MethodHandle; (java.base@21-ea)
  30:           369           8856  java.lang.module.ModuleDescriptor$Exports (java.base@21-ea)
  31:           124           7936  java.util.concurrent.ConcurrentHashMap (java.base@21-ea)
  32:           156           7488  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@21-ea)
  33:           184           7360  java.lang.invoke.DirectMethodHandle (java.base@21-ea)
  34:           144           6912  java.lang.invoke.LambdaForm (java.base@21-ea)
